entity,quality,views,transactions
1161469109684377286,0.0004535161198077896,399,0
1320422756932884166,0.000623708078850424,333,0
1491956466470590150,1.3253441991279937,246,0
1520034694909105862,0.003398885689398818,202,0
1523316187362203334,7.0850833725710665,279,0
1529336563280090822,13.522936624988628,376,0
1587729976563832518,3.806710514981349e-08,168,0
1623973178350212806,1.5117992443455837,146,0
1626027615826712262,0.27802199667344774,138,0
1627074350896355014,0.047806648560828335,138,0
1657682005834569414,6.871623657363283,159,0
1659233966497175238,3.317016287662209,133,0
1659964591973832390,0.07985272788604682,104,0
1665883812821964486,0.00045340161031067415,113,0
1688349584156497606,0.3213842994931832,108,0
1688518359191361222,0.0002304630149041588,108,0
1694732249155737286,0.013937279762410678,106,0
1695207238178936518,0.0666255913801752,106,0
1699039585957549766,0.6001095907921301,91,0
1699337003852863174,0.0033713374018955805,84,0
1706928032131028678,9.667348502245516e-08,88,0
1713296953234921158,0.3035262019917838,78,0
1716407471629899462,8.725665998812959,110,0
1723147477908166342,0.09035674645069784,85,0
1727136506093737670,0.008373319732917012,72,0
1734180527337084614,0.1350187230036151,70,0
1741248188080428742,0.006342134245890968,49,0
1745587960475260614,5.246118361903287e-05,56,0
1746501104882128582,0.006844503189545685,45,0
1747771590568023750,4.139105855981781,66,0
1749037128451593926,9.201219143507918e-09,47,0
1750669903218841286,0.10485891706360231,59,0
1752288384334927558,0.15559990375838662,47,0
1762247210903508678,0.0370364183839502,39,0
1772506204146472646,1.6192476806108391,37,0
1773786035681203910,0.0032234169799415253,23,0
1774221442285803206,0.031544054119562334,40,0
1775999352587916998,1.1583864274783241e-07,42,0
1778563413703890630,0.03792631682401058,29,0
1779755834064213702,0.0002572405597942625,31,0
1790143470167627462,0.7428527585430973,20,0
1791914233644160710,9.465041069858392e-06,16,0
1804361255026398918,0.0003227042705350555,14,0
1804735088979842758,0.08239142944265329,7,0
1804905513282148038,0.00020552372467067312,7,0
1808654847932864198,0.0005039480473158834,5,0
1809844519514117830,2.9190751528792628e-05,2,0
1812021552537114310,0.007226555393099203,5,0
